position,dimension,norm,seed,contestant,algorithm,subm_date,approx_factor,title_note
159,122,2704,49,Jim Johnson,Sieving,2022-02-12,0.96937,Modified G6K Workout. Total CPU time (over all threads): 55536.0441s
160,122,2751,5,Jim Johnson,Sieving,2021-11-13,0.98532,Modified G6K Workout. Total CPU time (over all threads): 125993.6009s.
161,122,2780,4,Jim Johnson,Sieving,2021-11-6,0.99369,Modified G6K Workout. Total CPU time (over all threads): 87950.5359s.
162,122,2782,0,Tadanori TERUYA,"Sieving,Other",2019-04-2,0.99546,"Hardware: 2 Xeon E5-2695v4 CPUs with 256 GB RAM (Reedbush).<br />Tool: workout module in G6K.<br />Time: 7099.15355s (wall-clock).<br />Memory: 60.19826GiB (via getrusage)<br />Note: 1 node with 36 threads used, and max. sieving dim. is 107.<br />"
163,122,2807,0,Tadanori TERUYA,"Sieving,Other",2019-04-2,1.00433,"Hardware: Xeon E5-2695v4 CPUs with 256 GB RAM (Reedbush).<br />Tool: workout module in G6K.<br />Time: 847.89992s (wall-clock).<br />Memory: 17.30980GiB (via getrusage)<br />Note: 1 node with 36 threads used, and max. sieving dim. is 98.<br />"
164,122,2862,0,Fumitaka YURA,"Sieving,Other",2018-12-27,1.02388,about 12 days by single thread of core i7 960(3.2GHz).
165,122,2881,123,Nikolaos Chatzis and Konstantinos A. Draziotis,"ENUM,BKZ",2018-07-3,1.02836,An Alternative version of BKZ 2.0 + Randomizing Parallel Enumeration using 4 Threads of an i3 processor...wall time : 3 weeks
166,122,2913,29,Yuanmi Chen and Phong Nguyen,BKZ,2013-03-13,1.04441,progressive BKZ reduction on 30 different seeds.
167,121,2640,98,Jim Johnson,Sieving,2022-04-6,0.94854,Modified G6K Workout. Total CPU time (over all threads): 45676.2863s.
168,121,2715,84,Jim Johnson,Sieving,2022-02-17,0.97645,Modified G6K Workout. Total CPU time (over all threads): 35231.2146s.
169,121,2727,13,Jim Johnson,Sieving,2021-10-25,0.98049,Modified G6K Workout. Total CPU time (over all threads): 92214.9291s.
170,121,2776,10,Jim Johnson,Sieving,2021-10-23,0.99498,Modified G6K Workout. Total CPU time (over all threads): 17474.6020s.
171,121,2777,5,Jim Johnson,Sieving,2021-10-23,0.99752,Modified G6K Workout. Total CPU time (over all threads): 98010.1219s.
172,121,2780,4,"N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, Y. Aono, K. Fujisawa","ENUM,BKZ",2020-01-20,0.99706,Preprocess: LLL+BKZ20 (fplll);<br />Main process: parallel DeepBKZ30(480minuites) + parallel-pruned ENUM using Ubiquity Generator framework with 2304 processes;<br />Total runtime 682minuites;<br />Hardware: Supercomputer system ï¿½ITOï¿½ provided Kyushu University
173,121,2809,2,"N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa","ENUM,BKZ",2020-01-20,1.00820,Preprocess: LLL+BKZ20 (fplll);<br />Main process: parallel DeepBKZ30(480minuites) + parallel-pruned ENUM using Ubiquity Generator framework with 2304 processes;<br />Total runtime 481minuites;<br />Hardware: Supercomputer system ï¿½ITOï¿½ provided Kyushu University
174,121,2829,0,Tadanori TERUYA,"Sieving,Other",2019-04-2,1.01670,"Hardware: Xeon E5-2695v4 CPUs with 256 GB RAM (Reedbush).<br />Tool: workout module in G6K.<br />Time: 10813.23176s (wall-clock).<br />Note: 1 node with 36 threads used, and 12 dimensions for free (max. sieving dim. is 109) at the last loop.<br />"
175,121,2847,0,Hailay Gidey,"ENUM,BKZ",2018-04-26,1.02335,Recursive Progressive BKZ + Randomizing ENUM. Computing time = around 2 days. 48 core Unix server
176,121,2910,62,Zhongxiang Zheng and Xiaoyun Wang,BKZ,2016-11-21,1.04370,MBKZ with k=12 and beta=40
177,121,2921,72,Zhongxiang Zheng and Xiaoyun Wang,BKZ,2016-11-10,1.04851,MBKZ
178,120,2654,897,"Ziyu Zhao, Jintai Ding, Bo-Yin Yang",Sieving,2024-05-4,0.95659,"algorithm: bgj2-epi8 (MSD = 99),<br />machine: dual Intel Xeon Gold 6338 server with 256GB of RAM,<br />spent around 75 core minutes for each seed."
179,120,2668,163,Jim Johnson,Sieving,2022-03-17,0.95990,Modified G6K Workout. Total CPU time (over all threads): 5450.3399s
180,120,2706,11,Jim Johnson,Sieving,2022-02-12,0.97586,Modified G6K Workout. Total CPU time (over all threads): 69128.5302s
181,120,2729,4,Yuga Miyagi and Eiichiro Fujisaki,Sieving,2019-05-1,0.98325,Caluclateion time about 24minutes.<br />Maximum Sieving Dimension: 96.<br />Machine: SGI UV3000 at JAIST @Intel Xeon E5-4655v3 (2.9GHz) .<br />Algorithm :G6K sheme <br />
182,120,2747,7,Yuga Miyagi and Eiichiro Fujisaki,Sieving,2019-04-27,0.98939,Machine: SGI UV3000 at JAIST @Intel Xeon E5-4655v3 (2.9GHz) .<br />Algorithm :G6K sheme
183,120,2751,6,Yuga Miyagi and Eiichiro Fujisaki,Sieving,2019-04-27,0.98964,Machine: SGI UV3000 at JAIST @Intel Xeon E5-4655v3 (2.9GHz) .<br />Algorithm :G6K sheme
184,120,2756,0,Kenji Kashiwabara and Masaharu Fukase,Other,2013-12-9,0.99535,We calculated this using a Let’snote.<br />Our program is written in Java.
185,120,2830,0,"Yoshinori Aono, Ken Naganuma","ENUM,BKZ",2013-09-19,1.02190,"Preprocess by BKZ 2.0 + ENUM (pruning function with p=0.0001, delta=1.01), about 200 CPU days@XeonE5-2660"
186,120,2850,0,Kenji Kashiwabara and Masaharu Fukase,Other,2013-08-28,1.02928,"We calculated this for a few weeks using two personal computers, Mac mini and iMac, basically.<br />Our program is written in Java."
187,120,2851,0,"Po-Chun Kuo, Michael Schneider","ENUM,BKZ",2011-04-6,1.02954,2300 US dollars paid to Amazon EC2
188,119,2565,118,Jim Johnson,Sieving,2022-06-10,0.92743,Modified G6K Workout. Total CPU time (over all threads): 7025.4592s.
189,119,2671,13,Jim Johnson,Sieving,2021-09-20,0.96853,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 6059.8170s. CPU time: 72249.7943s."
190,119,2787,19,Jim Johnson,Sieving,2021-09-20,1.00943,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 493.0678s. CPU time: 5797.0678s."
191,119,2793,0,Tadanori TERUYA,"Sieving,Other",2019-04-22,1.00955,"Hardware: 2 Xeon E5-2695v4 CPUs with 256 GB RAM (Reedbush).<br />Tool: workout module in G6K.<br />Time: 13763.34383s (wall-clock).<br />Used memory: 35.94197GiB (VmSize).<br />Note: 1 node with 36 threads used, and max. sieving dim. is 110.<br />"
192,119,2825,0,Yuga Miyagi and Eiichiro Fujisaki,Sieving,2019-04-22,1.02126,Machine: SGI UV3000 at JAIST @Intel Xeon E5-4655v3 (2.9GHz) .<br />Algorithm : G6K sheme
193,119,2831,5,Satoshi Nakamura and Masaya Yasuda,Other,2019-01-17,1.02237,Improved DeepBKZ with blocksize 45
194,119,2854,0,Hailay Gidey,"ENUM,BKZ",2018-04-22,1.03179,"Recursive Progressive BKZ-119 + Randomizing Enumeration, Computing time (Rough estimate)= 4 days -in a 48 core Unix server"
195,119,2863,10,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-22,1.03332,
196,119,2904,0,Yuntao Wang; Yoshinori Aono; Takuya Hayashi; Tsuyoshi Takagi,"ENUM,BKZ",2016-01-25,1.04985,"Progressive BKZ+Randomizing ENUM (#bases=5, prob=2*1.05^(-119)/10, radius=1.05GH(L)), Computing time=209.43 single core hours"
197,118,2625,1,Jim Johnson,Sieving,2021-09-20,0.95491,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 666.9680s. CPU time:7665.0885s."
198,118,2782,0,Kenji Kashiwabara and Masaharu Fukase,Other,2013-08-12,1.00811,"We calculated this for a few weeks using two personal computers, Mac mini and iMac, basically. The program is written in Java."
199,118,2868,8,Yuanmi Chen and Phong Nguyen,ENUM,2013-02-13,1.04441,
200,117,2612,214,Jim Johnson,Sieving,2022-04-2,0.95123,Modified G6K Workout. Total CPU time (over all threads): 34237.6475s
201,117,2653,148,Jim Johnson,Sieving,2022-03-30,0.97000,Modified G6K Workout. Total CPU time (over all threads): 20522.1614s
202,117,2659,80,Jim Johnson,Sieving,2022-02-12,0.96956,Modified G6K Workout. Total CPU time (over all threads): 36071.5379s
203,117,2680,48,Jim Johnson,Sieving,2021-09-19,0.97611,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 517.0156s. CPU time: 6040.3820s."
204,117,2769,0,Tadanori TERUYA,"Sieving,Other",2019-04-10,1.00982,"Hardware: 2 Xeon E5-2695v4 CPUs with 256 GB RAM (Reedbush).<br />Tool: workout module in G6K.<br />Time: 1034.73244s (wall-clock).<br />Used memory: 18.30859GiB (VmSize).<br />Note: 1 node with 36 threads used, and max. sieving dim. is 99.<br />"
205,117,2782,3,Satoshi Nakamura and Masaya Yasuda,Other,2018-12-1,1.01620,"DeepBKZ44 with additional size-reduction<br />2.60GHz, single core, 3days"
206,117,2803,0,Hailay Gidey,"ENUM,BKZ",2018-03-29,1.02227,Recursive Progressive-BKZ + Randomising Enumeration... costs around 30 hours
207,117,2840,10,Junpei Yamaguchi and Masaya Yasuda,Other,2017-04-10,1.03858,
208,117,2841,0,Yuntao Wang; Yoshinori Aono; Takuya Hayashi; Tsuyoshi Takagi,"ENUM,BKZ",2016-01-26,1.03619,"Progressive BKZ+Randomizing ENUM (#bases=20, prob=2*1.05^(-117)/7, radius=1.05GH(L)),<br />Computing time=31.52 single core days"
209,116,2608,342,Jim Johnson,Sieving,2022-05-4,0.95540,Modified G6K Workout. Total CPU time (over all threads): 6714.4823s.
210,116,2638,211,Jim Johnson,Sieving,2022-02-12,0.96540,Modified G6K Workout. Total CPU time (over all threads): 2920.2597s.
211,116,2663,102,Jim Johnson,Sieving,2021-11-5,0.97291,Modified G6K Workout. Total CPU time (over all threads): 21539.4970s.
212,116,2691,45,Jim Johnson,Sieving,2021-09-19,0.98546,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 538.4388s. CPU time: 6304.3379s."
213,116,2737,46,Jim Johnson,Sieving,2021-09-19,1.00299,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 626.6550s. CPU time: 7338.3303s."
214,116,2743,0,Thorsten Kleinjung,Sieving,2014-05-2,1.00492,
215,116,2764,0,Kenji Kashiwabara and Masaharu Fukase,Other,2014-03-21,1.01287,"This calculation takes a month on Mac mini(Mid 2010,2.66 GHz Intel Core 2 Duo).<br />We used the information of short vectors obtained by the previous calculation.<br />"
216,116,2786,0,Kenji Kashiwabara and Masaharu Fukase,Other,2013-08-3,1.02075,"Our algorithm, called ESS, is similar to Schnorr’s random sampling algorithm.<br />We calculated this for a few weeks using two personal computers, Mac mini and iMac.<br />Our program is written in Java.<br />We are going to write a paper about our algorithm.<br />"
217,116,2825,0,"Po-Chun Kuo, Michael Schneider","ENUM,BKZ",2011-04-1,1.03512,8 GTX480<br />time = 113699 second
218,115,2587,73,Jim Johnson,Sieving,2022-02-12,0.95104,Modified G6K Workout. Total CPU time (over all threads): 11853.8462s
219,115,2649,1,Yuga Miyagi and Eiichiro Fujisaki,Sieving,2019-04-13,0.97544,Machine: SGI UV3000 at JAIST @Intel Xeon E5-4655v3 (2.9GHz) .<br />Algorithm : G6K sheme <br />
220,115,2695,3,Yuga Miyagi and Eiichiro Fujisaki,Sieving,2019-04-10,0.99223,Machine: SGI UV3000 at JAIST @Intel Xeon E5-4655v3 (2.9GHz) .<br />Algorithm : G6K sheme .
221,115,2697,1,Yuga Miyagi and Eiichiro Fujisaki,Sieving,2019-04-10,0.99301,Machine: SGI UV3000 at JAIST @Intel Xeon E5-4655v3 (2.9GHz) .<br />Algorithm :G6K sheme
222,115,2699,3,Junpei Yamaguchi and Masaya Yasuda,Other,2017-06-23,0.99339,
223,115,2779,19,Junpei Yamaguchi and Masaya Yasuda,Other,2017-06-23,1.01939,
224,115,2780,11,Junpei Yamaguchi and Masaya Yasuda,Other,2017-06-23,1.02419,
225,115,2790,9,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-25,1.02581,
226,115,2813,0,Yuntao Wang; Yoshinori Aono; Takuya Hayashi; Tsuyoshi Takagi,"ENUM,BKZ",2016-01-25,1.03413,"Progressive BKZ+Randomizing ENUM (#bases=4, prob=2*1.05^(-115)/8, radius=1.05GH(L)), Computing time=90.5 single core hours"
227,114,2555,210,Jim Johnson,Sieving,2022-02-12,0.94181,Modified G6K Workout. Total CPU time (over all threads): 9094.7819s
228,114,2624,113,Jim Johnson,Sieving,2021-10-31,0.96914,Modified G6K Workout. Total CPU time (over all threads): 8244.1781s..
229,114,2654,91,Jim Johnson,Sieving,2021-09-18,0.98346,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 903.6592s. CPU time: 10621.0831s."
230,114,2697,0,Kenji Kashiwabara and Masaharu Fukase,Other,2013-07-12,0.99604,We use our original algorithm called ESS written in JAVA.
231,114,2735,0,"Yoshinori Aono, Ken Naganuma",BKZ,2013-02-14,1.01027,49 CPU days@AMD Opteron 6276
232,114,2778,0,"Po-Chun Kuo, Michael Schneider","ENUM,BKZ",2011-03-21,1.02605,"GPUENUM, GTX 480 * 8, total time = 139382 sec"
233,113,2559,3106,Jim Johnson,Sieving,2022-09-6,0.94808,Modified G6K Workout. Total CPU time (over all threads): 2667.8755s.
234,113,2563,2664,Jim Johnson,Sieving,2022-08-29,0.95319,Modified G6K Workout. Total CPU time (over all threads): 5128.2865s.
235,113,2564,254,Jim Johnson,Sieving,2022-02-12,0.95387,Modified G6K Workout. Total CPU time (over all threads): 9415.1339s
236,113,2612,103,Jim Johnson,Sieving,2021-11-28,0.96688,Modified G6K Workout. Total CPU time (over all threads): 16333.0544s.
237,113,2622,5,"N. Tateiwa, Y. Shinano, K. Yamamura, A. Yoshida, S. Kaji, M. Yasuda, K. Fujisawa",BKZ,2021-10-14,0.97459,solver: CMAP-LAP<br />main algorithm: parallel sharing DeepBKZ;<br />preprocess: LLL (fplll);<br />wall time: 4363 seconds;<br />machine: CPU-Cluster 144 cores (including 143 workers);<br />cpu: ntel(R) Xeon(R) CPU E5-2640 v3 @ 2.30 GHz<br />memory: 256 GB / node
238,113,2648,25,Jim Johnson,Sieving,2021-09-18,0.98312,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 681.1449s. CPU time: 7980.5057s."
239,113,2664,5,Jim Johnson,Sieving,2021-09-18,0.99039,"G6K using modified ""Workout"". 12 threads, Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz. Walltime: 621.8540s. CPU time: 7218.7686s."
240,113,2681,1,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-23,0.99409,
241,113,2739,999,Zhongxiang Zheng and Xiaoyun Wang,BKZ,2016-10-24,1.01459,MBKZ
242,113,2804,0,Yuntao Wang; Yoshinori Aono; Takuya Hayashi; Tsuyoshi Takagi,"ENUM,BKZ",2016-02-9,1.03897,"Progressive BKZ+Randomizing ENUM (#bases=1, prob=2*1.05^(-113)/8, radius=1.05GH(L)),<br />Computing time=10.72 single core hours"
243,113,2826,0,Alex Li,BKZ,2015-04-28,1.04693,
244,112,2521,626,Jim Johnson,Sieving,2022-03-23,0.93801,Modified G6K Workout. Total CPU time (over all threads): 4704.7710s
245,112,2580,283,Jim Johnson,Sieving,2022-02-12,0.96002,Modified G6K Workout. Total CPU time (over all threads): 12314.7863s.
246,112,2595,22,Jim Johnson,Sieving,2021-10-18,0.96839,Modified G6K Workout. Total CPU time (over all threads): 7062.1114s.
247,112,2653,3,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-25,0.98696,
248,112,2683,9,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-25,0.99936,
249,112,2708,0,Thorsten Kleinjung,Sieving,2014-01-14,1.00979,
250,112,2715,0,Yuanmi Chen and Phong Nguyen,Other,2011-03-30,1.01251,
251,112,2748,0,Po-Chun Kuo,"ENUM,BKZ",2011-02-17,1.02466,
252,112,2781,0,Yuanmi Chen and Phong Nguyen,Other,2010-06-5,1.03720,
253,111,2536,371,Jim Johnson,Sieving,2022-03-27,0.94714,Modified G6K Workout. Total CPU time (over all threads): 10356.6843s
254,111,2556,115,Jim Johnson,Sieving,2021-11-29,0.95781,Modified G6K Workout. Total CPU time (over all threads): 4578.1996s.
255,111,2593,114,Jim Johnson,Sieving,2021-11-29,0.96938,Modified G6K Workout. Total CPU time (over all threads): 6169.8599s.
256,111,2597,29,"N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa","ENUM,BKZ",2019-11-15,0.96979,Preprocess: LLL+BKZ20 (fplll);<br />Main process: parallel DeepBKZ30 + parallel-pruned ENUM using Ubiquity Generator framework with 2000 processes;<br />Total runtime 791.5 seconds;<br />Hardware: Supercomputer system ï¿½ITOï¿½ provided Kyushu University<br />
257,111,2635,30,"N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa","ENUM,BKZ",2019-11-15,0.98382,Preprocess: LLL+BKZ20 (fplll);<br />Main process: parallel DeepBKZ30 + parallel-pruned ENUM using Ubiquity Generator framework with 2000 processes;<br />Total runtime 541.4 seconds;<br />Hardware: Supercomputer system ï¿½ITOï¿½ provided Kyushu University
258,111,2660,8,"N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa","ENUM,BKZ",2019-11-14,0.99467,Preprocess: LLL+BKZ20 (fplll); Main process: parallel DeepBKZ30 + parallel-pruned ENUM using Ubiquity Generator framework with 2000 processes; Total runtime 611.4 seconds; Hardware: Supercomputer system ï¿½ITOï¿½ provided Kyushu University
259,111,2661,12,Kyle Malone,Sieving,2019-05-13,0.99370,Intel Core i5-5300U. Tool: workout module in G6K. 1 node with 32 threads. Time: 1243.1053s. Maximum sieving dimension: 87.
260,111,2684,0,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-16,1.00332,
261,111,2721,0,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-14,1.01699,
262,111,2731,0,Yuntao Wang; Yoshinori Aono; Takuya Hayashi; Tsuyoshi Takagi,"ENUM,BKZ",2016-01-25,1.02096,"Progressive BKZ+Randomizing ENUM (#bases=1, prob=2*1.05^(-111)/5, radius=1.05GH(L)), Computing time=6.18 single core hours"
263,110,2420,83,Jim Johnson,Sieving,2022-02-17,0.90756,Modified G6K Workout. Total CPU time (over all threads): 3154.3346s.
264,110,2543,42,Jim Johnson,Sieving,2021-10-19,0.95889,Modified G6K Workout. Total CPU time (over all threads): 12065.5184s.
265,110,2620,41,Jim Johnson,Sieving,2021-10-19,0.98479,Modified G6K Workout. Total CPU time (over all threads): 4508.5677s.
266,110,2621,4,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-15,0.98355,
267,110,2636,2,Felix Fontein,"BKZ,Other",2012-09-11,0.99285,"BKZ with blocksize 30, reduction parameter 0.99 and Deep Insertions to a block of 40 vectors and to the first 40 vectors. Found this vector after 5.36 days and 582\’528 calls to the SVP oracle, out of which 13.75% were successful. The total running time of BKZ was 8.93 days, and a total of 1\’219\’647 calls were made to the SVP oracle (success rate 13.49%)."
268,110,2699,0,Yuanmi Chen and Phong Nguyen,Other,2010-05-28,1.01591,
269,109,2495,53,Jim Johnson,Sieving,2021-12-3,0.94276,Modified G6K Workout. Total CPU time (over all threads): 3012.3414s.
270,109,2559,2,"N. Tateiwa, Y. Shinano, K. Yamamura, A. Yoshida, S. Kaji, M. Yasuda, K. Fujisawa",BKZ,2021-10-12,0.96465,solver: CMAP-LAP<br />main algorithm: parallel sharing DeepBKZ;<br />preprocess: LLL (fplll);<br />wall time: 2989 seconds;<br />machine: CPU-Cluster 144 cores (including 143 workers);<br />cpu: ntel(R) Xeon(R) CPU E5-2640 v3 @ 2.30 GHz<br />memory: 256 GB / node
271,109,2613,8,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-21,0.98360,
272,109,2658,9,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-14,1.00034,
273,109,2674,3,Junpei Yamaguchi and Masaya Yasuda,Other,2017-03-14,1.00767,
274,109,2703,0,Masaharu Fukase and Kazunori Yamaguchi,Other,2016-03-30,1.01754,
275,109,2737,0,Alex Li,BKZ,2015-04-28,1.03057,
276,109,2783,0,"Fï¿½bio Correia, Artur Mariano and Alberto Proenï¿½a",ENUM,2014-12-18,1.04769,
277,108,2478,371,Jim Johnson,Sieving,2022-03-6,0.93974,Modified G6K Workout. Total CPU time (over all threads): 3516.5934s.
278,108,2508,0,Yuanmi Chen and Phong Nguyen,Other,2010-06-16,0.95162,
279,108,2755,0,Yuanmi Chen and Phong Nguyen,Other,2010-05-30,1.04519,
280,107,2429,1340,Jim Johnson,Sieving,2022-02-22,0.92459,Modified G6K Workout. Total CPU time (over all threads): 1699.9454s.
281,107,2493,518,Jim Johnson,Sieving,2022-02-12,0.95184,Modified G6K Workout. Total CPU time (over all threads): 2571.3100s.
